The 103 Times:1417758844, 903172, 1417758844, 903211307
The 104 Times:1417758844, 991172, 1417758844, 991211041
The 105 Times:1417758844, 993408, 1417758844, 993447235
The 106 Times:1417758845, 79126, 1417758845, 79164957
The 107 Times:1417758845, 167195, 1417758845, 167234446
The 108 Times:1417758845, 255141, 1417758845, 255180682
The 109 Times:1417758845, 347138, 1417758845, 347177204
The 110 Times:1417758845, 435183, 1417758845, 435222120
The 111 Times:1417758845, 530994, 1417758845, 531033176
The 112 Times:1417758845, 531720, 1417758845, 531758992
The 113 Times:1417758845, 533408, 1417758845, 533447273
The 114 Times:1417758845, 627186, 1417758845, 627225891
The 115 Times:1417758845, 715142, 1417758845, 715181856
The 116 Times:1417758845, 803968, 1417758845, 804006980
The 117 Times:1417758845, 804657, 1417758845, 804695936
The 118 Times:1417758845, 891217, 1417758845, 891255942
The 119 Times:1417758845, 893408, 1417758845, 893447213
The 120 Times:1417758845, 979138, 1417758845, 979177220
The 121 Times:1417758846, 67126, 1417758846, 67164924
The 122 Times:1417758846, 155194, 1417758846, 155233515
The 123 Times:1417758846, 247167, 1417758846, 247206361
The 124 Times:1417758846, 335221, 1417758846, 335260748
The 125 Times:1417758846, 423968, 1417758846, 424007160
The 126 Times:1417758846, 424657, 1417758846, 424696116
The 127 Times:1417758846, 495304, 1417758846, 495343330
The 128 Times:1417758846, 587174, 1417758846, 587213528
The 129 Times:1417758846, 667138, 1417758846, 667177195
The 130 Times:1417758846, 787078, 1417758846, 787117832
The 131 Times:1417758846, 787787, 1417758846, 787826882
The 132 Times:1417758846, 871169, 1417758846, 871208449
The 133 Times:1417758846, 873407, 1417758846, 873445923
The 134 Times:1417758846, 963979, 1417758846, 964017948
The 135 Times:1417758846, 964681, 1417758846, 964719959
The 136 Times:1417758847, 47290, 1417758847, 47329891
The 137 Times:1417758847, 127304, 1417758847, 127343472
The 138 Times:1417758847, 207147, 1417758847, 207186575
The 139 Times:1417758847, 287189, 1417758847, 287228057
The 140 Times:1417758847, 371322, 1417758847, 371361423
The 141 Times:1417758847, 373421, 1417758847, 373460287
The 142 Times:1417758847, 447180, 1417758847, 447219000
The 143 Times:1417758847, 527138, 1417758847, 527177291
The 144 Times:1417758847, 619179, 1417758847, 619218482
The 145 Times:1417758847, 699163, 1417758847, 699202116
The 146 Times:1417758847, 779187, 1417758847, 779226703
